Forecasted Date,Forecasted Prices
2024-12-02,791.1639579409245
2024-12-03,791.8172513175303
2024-12-04,792.793873267142
2024-12-05,793.1677464522908
2024-12-06,794.0760535682482
2024-12-07,795.2604208952292
2024-12-08,796.2088664998053
2024-12-09,797.0139788837865
2024-12-10,798.0372341317676
2024-12-11,799.3394090375389
2024-12-12,799.9930929508824
2024-12-13,801.1348195618926
2024-12-14,802.5062044702381
2024-12-15,803.5958388955369
2024-12-16,804.4974075633697
2024-12-17,805.5739410536835
2024-12-18,806.8881622552708
2024-12-19,807.5149316931746
2024-12-20,808.5933147756361
2024-12-21,809.8676583927136
2024-12-22,810.8294285248954
2024-12-23,811.5752778892339
2024-12-24,812.4712545794883
2024-12-25,813.5831116881079
2024-12-26,813.9887227053384
2024-12-27,814.8301254753522
2024-12-28,815.8545816109138
2024-12-29,816.5564022695047
2024-12-30,817.0350083851824
2024-12-31,817.6591352528768
2025-01-01,818.4971403215844
2025-01-02,818.6294178444917
2025-01-03,819.2004420575975
2025-01-04,819.959824770376
2025-01-05,820.4041373908132
2025-01-06,820.634964775537
2025-01-07,821.0231003076908
2025-01-08,821.638840796907
2025-01-09,821.5643848324539
2025-01-10,821.9458564917005
2025-01-11,822.5343407578326
2025-01-12,822.8276813612358
2025-01-13,822.9285093219597
2025-01-14,823.2084126413777
2025-01-15,823.7382068990107
2025-01-16,823.6003116152183
2025-01-17,823.9407555276639
2025-01-18,824.5101983439444
2025-01-19,824.8057208024861
2025-01-20,824.9288522950955
2025-01-21,825.2497472864193
2025-01-22,825.8374708438448
2025-01-23,825.7723984328634
2025-01-24,826.1982531325874
2025-01-25,826.8631675383266
2025-01-26,827.2615215818686
2025-01-27,827.4920246224797
2025-01-28,827.9219518629055
2025-01-29,828.6174939710487
2025-01-30,828.6562234163493
2025-01-31,829.1791988637547
2025-02-01,829.9320929692802
2025-02-02,830.4070928340116
2025-02-03,830.7010395087508
2025-02-04,831.179714721245
2025-02-05,831.9082319675621
2025-02-06,831.9635339428463
2025-02-07,832.4865163829411
2025-02-08,833.2231627019672
2025-02-09,833.6664380777182
2025-02-10,833.9144091569939
2025-02-11,834.3344977370758
2025-02-12,834.9938261604973
2025-02-13,834.9716573991506
2025-02-14,835.4114512860615
2025-02-15,836.061923020883
2025-02-16,836.4188546519666
2025-02-17,836.583128013204
2025-02-18,836.9248899686719
2025-02-19,837.5138103178002
2025-02-20,837.4314379939626
2025-02-21,837.8231796324384
2025-02-22,838.4392891307148
2025-02-23,838.7766212008466
2025-02-24,838.9366194136757
2025-02-25,839.2894512658091
2025-02-26,839.9042518969724
2025-02-27,839.8614829141482
2025-02-28,840.304930734947
2025-03-01,840.9827329013078
2025-03-02,841.3891846763137
2025-03-03,841.6227952312432
2025-03-04,842.0505042797032
2025-03-05,842.7380186707493
2025-03-06,842.7622728939216
2025-03-07,843.2635350838772
2025-03-08,843.9865439072879
2025-03-09,844.4224254191627
2025-03-10,844.6668559056385
2025-03-11,845.0843783121448
2025-03-12,845.7388286404349
2025-03-13,845.7058733638697
2025-03-14,846.1251768603869
2025-03-15,846.7415820556394
2025-03-16,847.0470516436542
2025-03-17,847.1388347124725
2025-03-18,847.3837657592658
2025-03-19,847.8486524683944
2025-03-20,847.61275390738
2025-03-21,847.81986935548
2025-03-22,848.2194227576107
2025-03-23,848.3082925145502
2025-03-24,848.1888542651936
2025-03-25,848.2331468848016
2025-03-26,848.5131216365065
2025-03-27,848.1129799216842
2025-03-28,848.1811237556482
2025-03-29,848.4711078835849
2025-03-30,848.4833470676338
2025-03-31,848.3230498071665
2025-04-01,848.3642920023989
2025-04-02,848.6801933655066
2025-04-03,848.3552043845777
2025-04-04,848.5370297446664
2025-04-05,848.9775782580817
2025-04-06,849.174693290206
2025-04-07,849.2301346947002
2025-04-08,849.5137248143784
2025-04-09,850.093619710758
2025-04-10,850.0487111375347
2025-04-11,850.5206822804565
2025-04-12,851.2551039173121
2025-04-13,851.7433211599148
2025-04-14,852.0805976452481
2025-04-15,852.6304253771663
2025-04-16,853.4549569398247
2025-04-17,853.6275611940732
2025-04-18,854.285021238008
2025-04-19,855.168757328384
2025-04-20,855.7668213661738
2025-04-21,856.1721267573721
2025-04-22,856.7468193871766
2025-04-23,857.5527446325164
2025-04-24,857.6640104505216
2025-04-25,858.2191650086191
2025-04-26,858.962372009256
2025-04-27,859.3853315327319
2025-04-28,859.5854121630681
2025-04-29,859.9299027713168
2025-04-30,860.4863421286464
2025-05-01,860.3349301560069
2025-05-02,860.6205434623434
2025-05-03,861.093742810186
2025-05-04,861.25252499079
2025-05-05,861.2002895728012
2025-05-06,861.3099335039254
2025-05-07,861.6540361165811
2025-05-08,861.3171423701182
2025-05-09,861.4476705373354
2025-05-10,861.7988349559472
2025-05-11,861.8703386470544
2025-05-12,861.766307853444
2025-05-13,861.8593822866428
2025-05-14,862.2209236379035
2025-05-15,861.9333493820986
2025-05-16,862.1421164917045
2025-05-17,862.5967433481109
2025-05-18,862.7926216419463
2025-05-19,862.8290867138087
2025-05-20,863.0736560357932
2025-05-21,863.5923939318349
2025-05-22,863.46240487006
2025-05-23,863.823975147765
2025-05-24,864.4217465003496
2025-05-25,864.7466688516748
2025-05-26,864.8941964014354
2025-05-27,865.228632940522
2025-05-28,865.8135812449801
2025-05-29,865.7244962963816
2025-05-30,866.100860306698
2025-05-31,866.687362039052
2025-06-01,866.9758274406294
2025-06-02,867.0633664328761
2025-06-03,867.3166432366884
2025-06-04,867.8022273692152
2025-06-05,867.5990280830758
2025-06-06,867.8503339017434
2025-06-07,868.3048439661125
2025-06-08,868.4584428588065
2025-06-09,868.4121886924764
2025-06-10,868.5364269267875
2025-06-11,868.9009921323441
2025-06-12,868.5875053961873
2025-06-13,868.741293639278
2025-06-14,869.1123217284828
2025-06-15,869.1968926376385
2025-06-16,869.0955883376307
2025-06-17,869.1773659839622
